sweep,case,arm,flow_n,dt_scale,nbatch,nsteps,tfrac,max_its,status,iters_step1,median_iters_rest,imbalance,total_iters,iters_by_step,step1_overshoot,step1_contraction,theory_contraction,failed_step,n_failed_members,error
stepsize,vp_isoharden_inverted,nopred-ls,2,20,8,6,1.21212,50,ok,7,7,1,42,7-7-7-7-7-7,1,1.00215,4,-1,-1,
arms,vp_chaboche,pred+ls,2,1,8,6,0.0606061,50,ok,11,3,3.66667,27,11-4-3-3-3-3,5001.96,4.02968,4,-1,-1,
arms,vp_chaboche,pred-ls,2,1,8,6,0.0606061,50,ok,15,3,5,31,15-4-3-3-3-3,679899,4.00355,4,-1,-1,
arms,vp_chaboche,nopred+ls,2,1,8,6,0.0606061,50,ok,11,11,1,66,11-11-11-11-11-11,5001.96,4.02968,4,-1,-1,
arms,vp_chaboche,nopred-ls,2,1,8,6,0.0606061,50,ok,15,15,1,90,15-15-15-15-15-15,679899,4.00355,4,-1,-1,
stiffness,vp_chaboche,pred-ls,2,1,8,6,0.0606061,50,ok,15,3,5,31,15-4-3-3-3-3,679899,4.00355,4,-1,-1,
stiffness,vp_chaboche,pred-ls,4,1,8,6,0.0606061,50,ok,17,3,5.66667,33,17-5-3-3-2-3,564018,3.16312,3.16049,-1,-1,
stiffness,vp_chaboche,pred-ls,8,1,8,6,0.0606061,50,ok,17,3,5.66667,34,17-6-4-3-2-2,388142,2.91177,2.91029,-1,-1,
stiffness,vp_chaboche,pred-ls,12,1,8,6,0.0606061,50,ok,18,3,6,36,18-7-4-3-2-2,267109,2.84232,2.84094,-1,-1,
stiffness,vp_chaboche,pred-ls,20,1,8,6,0.0606061,50,ok,17,2,8.5,36,17-10-3-2-2-2,126498,2.79119,2.78951,-1,-1,
stiffness,vp_chaboche,nopred-ls,2,1,8,6,0.0606061,50,ok,15,15,1,90,15-15-15-15-15-15,679899,4.00355,4,-1,-1,
stiffness,vp_chaboche,nopred-ls,4,1,8,6,0.0606061,50,ok,17,17,1,102,17-17-17-17-17-17,564018,3.16312,3.16049,-1,-1,
stiffness,vp_chaboche,nopred-ls,8,1,8,6,0.0606061,50,ok,17,19,0.894737,112,17-19-19-19-19-19,388142,2.91177,2.91029,-1,-1,
stiffness,vp_chaboche,nopred-ls,12,1,8,6,0.0606061,50,ok,18,21,0.857143,123,18-21-21-21-21-21,267109,2.84232,2.84094,-1,-1,
stiffness,vp_chaboche,nopred-ls,20,1,8,6,0.0606061,50,ok,17,26,0.653846,147,17-26-26-26-26-26,126498,2.79119,2.78951,-1,-1,
stepsize,vp_chaboche,pred+ls,2,1,8,6,0.0606061,50,ok,11,3,3.66667,27,11-4-3-3-3-3,5001.96,4.02968,4,-1,-1,
stepsize,vp_chaboche,pred+ls,2,2,8,6,0.121212,50,ok,12,3,4,28,12-4-3-3-3-3,31833,4.00775,4,-1,-1,
stepsize,vp_chaboche,pred+ls,2,5,8,6,0.30303,50,ok,14,4,3.5,35,14-4-4-4-4-5,251491,4.00399,4,-1,-1,
